M-ce;10km;22km;33km;Cz. netto;Cz. brutto;min/km;km/h
214;01:34:41;03:27:19;05:24:06;07:20:38.900;07:20:56.050;09:47;6.1
215;01:36:54;03:35:32;05:38:47;07:21:46.550;07:21:57.450;09:49;6.1
216;01:37:09;03:26:54;05:25:37;07:23:26.150;07:23:41.050;09:51;6.1
217;01:29:23;03:20:34;05:30:54;07:23:46.500;07:24:02.000;09:51;6.1
218;01:29:22;03:20:32;05:30:54;07:23:45.750;07:24:02.350;09:51;6.1
219;01:40:32;03:35:32;05:33:15;07:24:18.550;07:24:36.500;09:52;6.1
220;01:28:22;03:01:44;04:47:26;07:25:56.200;07:26:15.950;09:54;6.1
221;01:18:51;02:59:39;05:22:15;07:30:39.200;07:30:46.600;10:00;6
222;01:44:21;03:44:38;05:43:52;07:30:52.750;07:31:16.550;10:01;6
223;01:28:30;03:15:48;05:25:33;07:31:29.500;07:31:45.700;10:01;6
224;01:29:56;03:28:34;05:37:00;07:31:48.750;07:32:20.150;10:02;6
225;01:36:40;03:22:21;05:34:17;07:31:46.100;07:32:23.000;10:02;6
226;01:28:31;03:18:55;05:20:35;07:33:54.100;07:34:12.400;10:05;5.9
227;01:42:54;03:39:27;05:45:56;07:34:52.550;07:35:10.850;10:06;5.9
228;01:37:19;03:22:28;05:34:03;07:35:55.350;07:36:23.900;10:07;5.9
229;01:40:38;03:31:59;05:33:27;07:36:25.050;07:36:44.100;10:08;5.9
230;01:40:38;03:35:02;05:38:35;07:36:25.200;07:36:44.350;10:08;5.9
231;01:32:39;03:30:28;05:32:29;07:38:02.250;07:38:24.250;10:10;5.9
232;01:32:21;03:20:32;05:33:46;07:38:17.950;07:38:37.200;10:11;5.9
233;01:35:48;03:28:49;05:27:50;07:38:18.650;07:38:37.350;10:11;5.9
234;01:44:10;03:44:42;05:52:05;07:38:32.800;07:38:48.700;10:11;5.9
235;01:44:00;03:43:46;05:47:31;07:40:57.200;07:41:08.450;10:14;5.9
236;01:47:25;03:48:26;05:47:36;07:41:29.800;07:41:51.600;10:15;5.9
237;01:47:26;03:47:21;05:47:24;07:41:45.550;07:42:06.350;10:15;5.8
238;01:36:19;03:22:02;05:27:45;07:42:04.500;07:42:35.200;10:16;5.8
239;01:24:32;03:08:59;05:34:05;07:43:33.400;07:44:02.350;10:18;5.8
240;01:48:46;03:46:09;05:51:36;07:44:26.050;07:44:37.600;10:19;5.8
241;01:43:18;03:46:30;05:51:06;07:45:21.900;07:46:02.750;10:20;5.8
242;01:44:08;03:44:33;05:49:43;07:45:47.200;07:46:12.550;10:21;5.8
243;01:44:53;03:28:38;05:53:26;07:47:40.350;07:47:56.300;10:23;5.8
244;01:44:54;03:34:00;05:54:07;07:47:41.000;07:47:56.300;10:23;5.8
245;01:41:55;03:33:55;05:54:35;07:47:43.800;07:47:58.500;10:23;5.8
246;01:45:27;03:46:21;05:49:27;07:49:09.650;07:49:32.250;10:25;5.8
247;01:41:29;03:40:40;05:49:25;07:50:56.650;07:51:29.300;10:27;5.7
248;01:41:28;03:38:07;05:49:27;07:50:56.200;07:51:29.300;10:27;5.7
254;01:42:57;03:41:55;05:51:45;08:11:45.750;08:12:07.350;10:55;5.5
255;01:44:47;03:47:57;06:00:41;08:12:00.300;08:12:07.750;10:56;5.5
256;01:43:27;03:48:04;06:12:55;08:11:38.750;08:12:21.150;10:55;5.5
257;01:43:28;03:46:08;06:12:55;08:11:40.200;08:12:22.500;10:55;5.5
